Season,Big_Six,Goals_conceeded,Home_losses
2013/2014,Tottenham,23,5
2013/2014,Chelsea,11,1
2013/2014,Man United,21,7
2013/2014,Man City,13,1
2013/2014,Arsenal,11,1
2013/2014,Liverpool,18,2
2014/2015,Man United,15,3
2014/2015,Tottenham,24,6
2014/2015,Arsenal,14,2
2014/2015,Liverpool,20,4
2014/2015,Man City,14,2
2015/2016,Arsenal,11,3
2015/2016,Liverpool,22,3
2015/2016,Man United,9,2
2015/2016,Man City,21,5
2015/2016,Tottenham,15,3
2015/2016,Chelsea,30,5
2016/2017,Tottenham,9,0
2016/2017,Chelsea,17,2
2016/2017,Man City,17,1
2016/2017,Man United,12,1
2016/2017,Arsenal,16,2
2016/2017,Liverpool,18,2
2017/2018,Chelsea,16,4
2017/2018,Tottenham,16,2
2017/2018,Man City,14,1
2017/2018,Arsenal,20,2
2017/2018,Man United,9,2
2017/2018,Liverpool,10,0
2018/2019,Arsenal,16,2
2018/2019,Tottenham,16,5
2018/2019,Man United,25,3
2018/2019,Liverpool,10,0
2019/2020,Tottenham,17,4
2019/2020,Man United,17,2
2019/2020,Arsenal,24,3
2019/2020,Chelsea,16,5
2019/2020,Liverpool,16,0
2019/2020,Man City,13,2
2020/2021,Man United,28,6
2020/2021,Arsenal,21,7
2020/2021,Tottenham,20,6
2020/2021,Chelsea,18,4
2020/2021,Liverpool,20,6
2020/2021,Man City,17,4
2021/2022,Arsenal,17,4
2021/2022,Man United,22,4
2021/2022,Man City,15,2
2021/2022,Tottenham,19,5
2022/2023,Man United,10,1
2022/2023,Liverpool,17,1
2022/2023,Man City,17,1
2022/2023,Tottenham,25,6
2022/2023,Arsenal,25,2
2022/2023,Chelsea,19,6
2014/2015,Chelsea,9,0
2018/2019,Chelsea,12,1
2018/2019,Man City,12,1
2021/2022,Chelsea,22,3
2021/2022,Liverpool,9,0
